Name,Team,Position,Height(inches),Weight(lbs),Age
Joe Blanton,OAK,Starting Pitcher,75,225,26.22
Joe Borchard,FLA,Outfielder,77,220,28.26
Joe Borowski,CLE,Relief Pitcher,74,225,35.82
Joe Crede,CWS,Third Baseman,73,200,28.85
Joe Inglett,CLE,Second Baseman,70,180,28.67
Joe Kennedy,OAK,Starting Pitcher,76,237,27.77
Joe Mauer,MIN,Catcher,76,220,23.87
Joe Nathan,MIN,Relief Pitcher,76,205,32.27
Joe Nelson,KC,Relief Pitcher,74,185,32.35
Joe Saunders,ANA,Starting Pitcher,74,200,25.71
Joel Hanrahan,WAS,Starting Pitcher,75,215,25.4
Joel Peralta,KC,Relief Pitcher,71,160,30.94
Joel Pineiro,BOS,Relief Pitcher,73,200,28.43
Joel Zumaya,DET,Relief Pitcher,75,210,22.31
Joey Devine,ATL,Relief Pitcher,71,195,23.45
Joey Gathright,KC,Outfielder,70,170,25.84
Joey Votto,CIN,First Baseman,75,200,23.47
Johan Santana,MIN,Starting Pitcher,72,206,27.97
John Bale,KC,Starting Pitcher,76,205,32.77
John Buck,KC,Catcher,75,210,26.65
John Grabow,PIT,Relief Pitcher,74,210,28.32
John Hattig,TOR,Third Baseman,74,210,27.01
John Koronka,TEX,Starting Pitcher,73,180,26.66
John Lackey,ANA,Starting Pitcher,78,235,28.35
John Maine,NYM,Starting Pitcher,76,193,25.81
John McDonald,TOR,Shortstop,71,175,32.43
John Nelson,STL,First Baseman,73,190,27.99
John Parrish,BAL,Relief Pitcher,71,192,29.26
John Patterson,WAS,Starting Pitcher,77,208,29.08
John Rheinecker,TEX,Starting Pitcher,74,230,27.76
John Rodriguez,STL,Outfielder,72,205,29.11
John Smoltz,ATL,Starting Pitcher,75,220,39.79
John Thomson,TOR,Starting Pitcher,75,220,33.41
Johnny Damon,NYY,Outfielder,74,190,33.32
Johnny Estrada,MLW,Catcher,71,209,30.67
Jon Adkins,NYM,Relief Pitcher,71,210,29.5
Jon Garland,CWS,Starting Pitcher,78,210,27.43
Jon Huber,SEA,Relief Pitcher,74,195,25.65
Jon Lester,BOS,Starting Pitcher,74,190,23.15
Jon Lieber,PHI,Starting Pitcher,74,230,36.91
Jon Rauch,WAS,Relief Pitcher,83,260,28.42
Jon Switzer,TB,Relief Pitcher,75,191,27.55
Jonah Bayliss,PIT,Relief Pitcher,74,200,26.55
Jonathan Broxton,LA,Relief Pitcher,76,240,22.7
Jonathan Johnson,ATL,Starting Pitcher,72,180,32.62
Jonathan Papelbon,BOS,Starting Pitcher,76,230,26.27
Jonathan Sanchez,SF,Starting Pitcher,74,165,24.28
Jonny Gomes,TB,Designated Hitter,73,205,26.27
Jordan Tata,DET,Relief Pitcher,78,220,25.44
Jorge Cantu,TB,Second Baseman,73,184,25.08
Jorge De La Rosa,KC,Starting Pitcher,73,190,25.9
Jorge Julio,ARZ,Relief Pitcher,73,232,27.99
Jorge Posada,NYY,Catcher,74,205,35.54
Jorge Sosa,NYM,Relief Pitcher,74,170,29.84
Jose Bautista,PIT,Outfielder,72,192,26.36
Jose Capellan,MLW,Relief Pitcher,76,235,26.13
Jose Castillo,PIT,Second Baseman,73,200,25.95
Jose Contreras,CWS,Starting Pitcher,76,224,35.23
Jose Cruz Jr.,SD,Outfielder,72,210,32.87
Jose Garcia,FLA,Relief Pitcher,71,165,22.14
Jose Guillen,SEA,Outfielder,71,190,30.79
Jose Lopez,SEA,Second Baseman,74,170,23.27
Jose Mesa,DET,Relief Pitcher,75,232,40.77
Jose Molina,ANA,Catcher,74,220,31.74
Jose Reyes,NYM,Shortstop,72,160,23.72
Jose Valentin,NYM,Second Baseman,70,195,37.38
Jose Valverde,ARZ,Relief Pitcher,76,254,27.6
Jose Veras,NYY,Relief Pitcher,77,230,26.36
Jose Vidro,SEA,Second Baseman,71,193,32.51
Josh Bard,SD,Catcher,75,215,28.92
Josh Barfield,CLE,Second Baseman,72,185,24.2
Josh Beckett,BOS,Starting Pitcher,77,222,26.79
Josh Fields,CWS,Third Baseman,73,215,24.21
Josh Fogg,COL,Starting Pitcher,72,203,30.21
Josh Hamilton,CIN,Outfielder,76,205,25.78
Josh Hancock,STL,Relief Pitcher,75,205,28.89
Josh Johnson,FLA,Starting Pitcher,79,240,23.08
Josh Kinney,STL,Relief Pitcher,73,195,27.92
Josh Paul,TB,Catcher,73,200,31.78
Josh Phelps,NYY,First Baseman,75,220,28.8
Josh Rabe,MIN,Designated Hitter,74,210,28.38
Josh Rupe,TEX,Relief Pitcher,74,200,24.53
Josh Sharpless,PIT,Relief Pitcher,77,234,26.09
Josh Shortslef,PIT,Starting Pitcher,76,220,25.08
Josh Willingham,FLA,Outfielder,73,200,28.03
Josh Wilson,WAS,Shortstop,73,178,25.93
Juan Castro,CIN,Shortstop,71,195,34.69
Juan Cruz,ARZ,Starting Pitcher,74,165,28.38
Juan Encarnacion,STL,Outfielder,75,215,30.98
Juan Lara,CLE,Relief Pitcher,74,190,26.09
Juan Mateo,CHC,Starting Pitcher,74,180,24.2
Juan Morillo,COL,Relief Pitcher,73,190,23.32
Juan Padilla,NYM,Relief Pitcher,72,200,30.03
Juan Perez,PIT,Relief Pitcher,72,170,28.49
Juan Pierre,LA,Outfielder,72,180,29.54
Juan Rincon,MIN,Relief Pitcher,71,201,28.1
Juan Rivera,ANA,Outfielder,74,205,28.66
Juan Salas,TB,Relief Pitcher,74,190,28.31
Juan Uribe,CWS,Shortstop,71,175,27.61
Julian Tavarez,BOS,Relief Pitcher,74,195,33.77
Julio DePaula,MIN,Relief Pitcher,72,170,24.16
Julio Franco,NYM,First Baseman,73,188,48.52
Julio Lugo,BOS,Shortstop,73,170,31.29
Julio Mateo,SEA,Relief Pitcher,72,177,29.58
Justin Duchscherer,OAK,Relief Pitcher,75,190,29.28
Justin Hampson,SD,Relief Pitcher,73,200,26.77
Justin Morneau,MIN,First Baseman,76,228,25.79
Justin Speier,ANA,Relief Pitcher,76,205,33.31
Justin Verlander,DET,Starting Pitcher,77,200,24.02
Kason Gabbard,BOS,Starting Pitcher,75,200,24.9
Kaz Matsui,COL,Second Baseman,70,185,31.35
Kelly Johnson,ATL,Outfielder,73,180,25.02
Kelly Shoppach,CLE,Catcher,73,210,26.84
Kelvim Escobar,ANA,Starting Pitcher,73,210,30.89
Kelyn Acosta,SF,Starting Pitcher,73,204,21.85
Ken Griffey Jr.,CIN,Outfielder,75,205,37.27
Ken Ray,KC,Relief Pitcher,74,200,32.26
Kendry Morales,ANA,First Baseman,73,220,23.7
Kenji Johjima,SEA,Catcher,72,200,30.73
Kenny Lofton,TEX,Outfielder,72,180,39.75
Kenny Rogers,DET,Starting Pitcher,73,211,42.3
Kerry Wood,CHC,Relief Pitcher,77,225,29.71
Kevin Cameron,SD,Relief Pitcher,73,180,27.21
Kevin Correia,SF,Relief Pitcher,75,200,26.52
Kevin Frandsen,SF,Second Baseman,72,175,24.77
Kevin Gregg,FLA,Relief Pitcher,78,220,28.7
Kevin Kouzmanoff,SD,Designated Hitter,73,200,25.6
Kevin Mench,MLW,Outfielder,72,225,29.14
Kevin Millar,BAL,First Baseman,72,210,35.43
Kevin Millwood,TEX,Starting Pitcher,76,235,32.18
Kevin Thompson,NYY,Outfielder,70,185,27.45
Kevin Youkilis,BOS,First Baseman,73,220,27.96
Khalil Greene,SD,Shortstop,71,210,27.36
Kiko Calero,OAK,Relief Pitcher,73,180,32.14
Kip Wells,STL,Starting Pitcher,75,200,29.86
Kirk Saarloos,CIN,Starting Pitcher,72,,27.77
Kory Casto,WAS,Outfielder,73,200,25.23
Kris Benson,BAL,Starting Pitcher,76,195,32.31
Kurt Birkins,BAL,Relief Pitcher,74,188,26.55
Kyle Davies,ATL,Starting Pitcher,74,205,23.47
Kyle Farnsworth,NYY,Relief Pitcher,76,240,30.88
Kyle Lohse,CIN,Starting Pitcher,74,201,28.41
Kyle Snyder,BOS,Starting Pitcher,80,220,29.47
LaTroy Hawkins,COL,Relief Pitcher,77,215,34.19
Lance Berkman,HOU,First Baseman,73,220,31.05
Lance Cormier,ATL,Relief Pitcher,73,192,26.53
Lance Niekro,SF,First Baseman,75,210,28.08
Larry Broadway,WAS,First Baseman,76,230,26.2
Lastings Milledge,NYM,Outfielder,72,187,21.9
Laynce Nix,MLW,Outfielder,72,200,26.33
Lenny DiNardo,OAK,Relief Pitcher,76,195,27.45
Levale Speigner,WAS,Relief Pitcher,71,170,26.43
Lew Ford,MIN,Outfielder,72,195,30.55
Lincoln Holdzkom,HOU,Relief Pitcher,76,240,24.94
Livan Hernandez,ARZ,Starting Pitcher,74,245,32.02
Logan Kensing,FLA,Relief Pitcher,73,185,24.66
Luis Ayala,WAS,Relief Pitcher,74,186,29.13
Luis Castillo,MIN,Second Baseman,71,190,31.47
Luis Gonzalez,LA,Outfielder,74,200,39.49
Luis Rodriguez,MIN,Third Baseman,69,180,26.67
Luis Terrero,CWS,Outfielder,74,206,26.78
Luis Vizcaino,NYY,Relief Pitcher,71,184,32.57
Luke Hudson,KC,Starting Pitcher,75,195,29.83
Luke Scott,HOU,Outfielder,72,210,28.68
Lyle Overbay,TOR,First Baseman,74,227,30.09
Macay McBride,ATL,Relief Pitcher,71,210,24.35
Magglio Ordonez,DET,Outfielder,72,215,33.09
Maicer Izturis,ANA,Third Baseman,68,155,26.46
Manny Acosta,ATL,Relief Pitcher,76,170,25.83
Manny Corpas,COL,Relief Pitcher,75,170,24.24
Manny Delcarmen,BOS,Relief Pitcher,74,190,25.03
Manny Ramirez,BOS,Outfielder,72,213,34.75
Marco Scutaro,OAK,Shortstop,70,170,31.33
Marcos Carvajal,NYM,Relief Pitcher,76,175,22.53
Marcus Giles,SD,Second Baseman,68,180,28.79
Marcus McBeth,OAK,Relief Pitcher,73,185,26.52
Marcus Thames,DET,Outfielder,74,205,29.98
Mariano Rivera,NYY,Relief Pitcher,74,170,37.25
Mark Bellhorn,CIN,Third Baseman,73,205,32.52
Mark Buehrle,CWS,Starting Pitcher,74,220,27.94
Mark DeRosa,CHC,Outfielder,73,205,32.01
Mark Ellis,OAK,Second Baseman,71,180,29.73
Mark Grudzielanek,KC,Second Baseman,73,190,36.67
Mark Hendrickson,LA,Starting Pitcher,81,230,32.69
Mark Kiger,OAK,Shortstop,71,180,26.75
Mark Kotsay,OAK,Outfielder,72,201,31.24
Mark Loretta,HOU,Second Baseman,72,186,35.55
Mark Lowe,SEA,Relief Pitcher,75,190,23.73
Mark Mulder,STL,Starting Pitcher,78,208,29.57
Mark Prior,CHC,Starting Pitcher,77,230,26.48
Mark Sweeney,SF,First Baseman,73,215,37.34
Mark Teahen,KC,Third Baseman,75,210,25.48
Mark Teixeira,TEX,First Baseman,75,220,26.89
Marlon Anderson,LA,Second Baseman,71,200,33.15
Marlon Byrd,TEX,Outfielder,72,229,29.5
Martin Prado,ATL,Second Baseman,73,170,23.34
Marty McLeary,PIT,Relief Pitcher,77,230,32.34
Matt Albers,HOU,Starting Pitcher,72,205,24.11
Matt Belisle,CIN,Relief Pitcher,75,195,26.73
Matt Cain,SF,Starting Pitcher,75,216,22.41
Matt Capps,PIT,Relief Pitcher,75,238,23.49
Matt Clement,BOS,Starting Pitcher,75,210,32.55
Matt Diaz,ATL,Outfielder,73,206,28.99
Matt Garza,MIN,Starting Pitcher,76,185,23.26
Matt Guerrier,MIN,Relief Pitcher,75,185,28.58
Matt Holliday,COL,Outfielder,76,235,27.12
Matt Kemp,LA,Outfielder,76,230,22.43
Matt Lindstrom,FLA,Relief Pitcher,76,205,27.05
Matt Miller,CLE,Relief Pitcher,75,215,35.27
Matt Morris,SF,Starting Pitcher,77,220,32.56
Matt Murton,CHC,Outfielder,73,215,25.41
Matt Roney,TOR,Relief Pitcher,75,245,27.14
Matt Smith,PHI,Relief Pitcher,77,225,27.71
Matt Thornton,CWS,Relief Pitcher,78,228,30.46
Matt Treanor,FLA,Catcher,74,220,30.99
Matt Wise,MLW,Relief Pitcher,76,200,31.28
Melky Cabrera,NYY,Outfielder,71,170,22.55
Melvin Mora,BAL,Third Baseman,71,200,35.07
Merkin Valdez,SF,Relief Pitcher,77,208,25.3
Micah Bowie,WAS,Relief Pitcher,76,203,32.3
Michael Barrett,CHC,Catcher,75,210,30.35
Michael Bourn,PHI,Outfielder,71,180,24.18
Michael Cuddyer,MIN,Outfielder,74,222,27.93
Michael Young,TEX,Shortstop,73,190,30.36
Miguel Asencio,HOU,Relief Pitcher,74,190,26.42
Miguel Batista,SEA,Starting Pitcher,73,197,36.03
Miguel Cabrera,FLA,Third Baseman,74,210,23.87
Miguel Cairo,NYY,Second Baseman,73,208,32.82
Miguel Montero,ARZ,Catcher,71,197,23.64
Miguel Ojeda,TEX,Catcher,74,190,32.08
Miguel Olivo,FLA,Catcher,72,215,28.63
Miguel Tejada,BAL,Shortstop,69,209,30.77
Mike Adams,SD,Relief Pitcher,77,190,28.59
Mike Cameron,SD,Outfielder,74,200,34.14
Mike Gonzalez,ATL,Relief Pitcher,74,205,28.77
Mike Hampton,ATL,Starting Pitcher,70,195,34.47
Mike Jacobs,FLA,First Baseman,74,180,26.33
Mike Lamb,HOU,First Baseman,73,190,31.56
Mike Lieberthal,LA,Catcher,72,190,35.12
Mike Lowell,BOS,Third Baseman,75,210,33.01
Mike MacDougal,CWS,Relief Pitcher,76,195,29.99
Mike Maroth,DET,Starting Pitcher,72,190,29.54
Mike Morse,SEA,Outfielder,76,220,24.94
Mike Mussina,NYY,Starting Pitcher,74,185,38.23
Mike Myers,NYY,Relief Pitcher,75,219,37.68
Mike Napoli,ANA,Catcher,72,205,25.33
Mike O'Connor,WAS,Starting Pitcher,75,170,26.54
Mike Pelfrey,NYM,Starting Pitcher,79,190,23.13
Mike Piazza,OAK,Catcher,75,215,38.49
Mike Rabelo,DET,Designated Hitter,73,200,27.12
Mike Redmond,MIN,Catcher,71,200,35.82
Mike Restovich,WAS,Outfielder,76,257,28.16
Mike Rivera,MLW,Catcher,72,210,30.48
Mike Stanton,CIN,Relief Pitcher,73,215,39.75
Mike Sweeney,KC,Designated Hitter,75,225,33.61
Mike Thompson,SD,Starting Pitcher,76,200,26.31
Mike Timlin,BOS,Relief Pitcher,76,210,40.97
Mike Wuertz,CHC,Relief Pitcher,75,205,28.21
Milton Bradley,OAK,Outfielder,72,205,28.88
Mitch Maier,KC,Outfielder,74,210,24.67
Moises Alou,NYM,Outfielder,75,220,40.66
Morgan Ensberg,HOU,Third Baseman,74,210,31.51
Nate McLouth,PIT,Outfielder,71,186,25.34
Nate Robertson,DET,Starting Pitcher,74,215,29.49
Neal Cotts,CHC,Relief Pitcher,74,200,26.93
Neal Musser,KC,Starting Pitcher,73,215,26.51
Neifi Perez,DET,Second Baseman,72,197,33.74
Nelson Cruz,TEX,Outfielder,75,175,26.66
Nick DeBarr,BOS,Relief Pitcher,76,220,23.52
Nick Johnson,WAS,First Baseman,75,224,28.45
Nick Markakis,BAL,Outfielder,74,185,23.29
Nick Masset,CWS,Relief Pitcher,76,190,24.79
Nick Punto,MIN,Third Baseman,69,176,29.31
Nick Swisher,OAK,First Baseman,72,194,26.26
Noah Lowry,SF,Starting Pitcher,74,210,26.39
Nomar Garciaparra,LA,First Baseman,72,190,33.6
Nook Logan,WAS,Outfielder,74,180,27.26
Norris Hopper,CIN,Outfielder,69,200,27.94
Octavio Dotel,KC,Relief Pitcher,72,210,33.26
Odalis Perez,KC,Starting Pitcher,72,150,29.73
Oliver Perez,NYM,Starting Pitcher,72,190,25.54
Olmedo Saenz,LA,First Baseman,71,221,36.39
Omar Infante,DET,Second Baseman,72,176,25.18
Omar Vizquel,SF,Shortstop,69,175,39.85
Orlando Cabrera,ANA,Shortstop,70,190,32.33
Orlando Hernandez,NYM,Starting Pitcher,74,220,37.39
Orlando Hudson,ARZ,Second Baseman,72,185,29.22
Orlando Palmeiro,HOU,Outfielder,71,180,38.11
Oscar Villarreal,ATL,Relief Pitcher,72,205,25.27
Oswaldo Navarro,SEA,Shortstop,72,150,22.41
Pablo Ozuna,CWS,Outfielder,70,186,32.51
Pat Burrell,PHI,Outfielder,76,223,30.39
Pat Misch,SF,Relief Pitcher,74,170,25.53
Pat Neshek,MIN,Relief Pitcher,75,205,26.49
Paul Bako,BAL,Catcher,74,215,34.69
Paul Byrd,CLE,Starting Pitcher,73,190,36.24
Paul Estrada,HOU,Relief Pitcher,73,215,24.47
Paul Konerko,CWS,First Baseman,74,215,30.99
Paul Lo Duca,NYM,Catcher,70,185,34.88
Paul Maholm,PIT,Starting Pitcher,74,225,24.68
Paul McAnulty,SD,Outfielder,70,220,26.01
Pedro Feliciano,NYM,Relief Pitcher,70,185,30.51
Pedro Feliz,SF,Third Baseman,73,205,31.84
Pedro Martinez,NYM,Starting Pitcher,71,180,35.35
Pete Orr,ATL,Second Baseman,73,175,27.73
Peter Moylan,ATL,Relief Pitcher,74,200,28.24
Phil Seibel,ANA,Relief Pitcher,73,195,28.09
Phil Stockman,ATL,Relief Pitcher,80,240,27.1
Philip Humber,NYM,Relief Pitcher,76,210,24.19
Placido Polanco,DET,Second Baseman,70,190,31.39
Prince Fielder,MLW,First Baseman,72,260,22.81
Rafael Betancourt,CLE,Relief Pitcher,74,200,31.84
Rafael Furcal,LA,Shortstop,70,165,29.35
Rafael Perez,CLE,Relief Pitcher,75,185,24.96
Rafael Soriano,ATL,Relief Pitcher,73,175,27.2
Rajai Davis,PIT,Outfielder,71,197,26.36
Ramon Castro,NYM,Catcher,75,235,31
Ramon Hernandez,BAL,Catcher,72,210,30.78
Ramon Martinez,LA,Second Baseman,73,190,34.39
Ramon Ortiz,MIN,Starting Pitcher,72,175,33.77
Ramon Ramirez,COL,Relief Pitcher,71,190,25.5
Ramon Santiago,DET,Shortstop,71,167,27.5
Randy Flores,STL,Relief Pitcher,72,180,31.58
Randy Johnson,ARZ,Starting Pitcher,82,231,43.47
Randy Keisler,STL,Relief Pitcher,75,190,31.01
Randy Messenger,FLA,Relief Pitcher,72,220,25.55
Randy Winn,SF,Outfielder,74,197,32.73
Randy Wolf,LA,Starting Pitcher,72,200,30.52
Raul Ibanez,SEA,Outfielder,74,200,34.74
Ray Durham,SF,Second Baseman,68,196,35.25
Reed Johnson,TOR,Outfielder,70,180,30.23
Reggi Abercrombie,FLA,Outfielder,75,224,26.63
Reggie Sanders,KC,Outfielder,73,205,39.25
Reggie Willits,ANA,Outfielder,71,185,25.75
Rene Rivera,SEA,Catcher,70,190,23.58
Renyel Pinto,FLA,Relief Pitcher,76,195,24.65
Rheal Cormier,CIN,Relief Pitcher,70,195,39.85
Ricardo Rincon,STL,Relief Pitcher,69,190,36.88
Rich Aurilia,SF,Third Baseman,73,189,35.49
Rich Harden,OAK,Starting Pitcher,73,180,25.25
Rich Hill,CHC,Starting Pitcher,77,190,26.97
Richie Sexson,SEA,First Baseman,80,237,32.17
Rick Bauer,TEX,Relief Pitcher,78,223,30.14
Rickie Weeks,MLW,Second Baseman,72,195,24.46
Ricky Nolasco,FLA,Starting Pitcher,74,220,24.21
Rob Bowen,SD,Catcher,75,216,26.01
Rob Mackowiak,CWS,Outfielder,70,195,30.69
Robb Quinlan,ANA,First Baseman,73,200,29.95
Robby Hammock,ARZ,First Baseman,70,187,29.8
Robert Andino,FLA,Shortstop,72,170,22.85
Roberto Hernandez,CLE,Relief Pitcher,76,250,42.3
Roberto Novoa,CHC,Relief Pitcher,77,200,27.54
Robinson Cano,NYY,Second Baseman,72,170,24.36
Robinson Tejeda,TEX,Starting Pitcher,75,188,24.94
Rocco Baldelli,TB,Outfielder,76,187,25.43
Rod Barajas,PHI,Catcher,74,220,31.49
Rodrigo Lopez,COL,Starting Pitcher,73,190,31.21
Roman Colon,DET,Relief Pitcher,78,225,27.55
Ron Flores,OAK,Relief Pitcher,71,190,27.56
Ron Mahay,TEX,Relief Pitcher,74,185,35.67
Rondell White,MIN,Designated Hitter,73,225,35.02
Ronny Cedeno,CHC,Shortstop,72,180,24.07
Ronny Paulino,PIT,Catcher,75,215,25.86
Ross Gload,KC,First Baseman,72,185,30.9
Roy Halladay,TOR,Starting Pitcher,78,230,29.8
Roy Oswalt,HOU,Starting Pitcher,72,185,29.5
Royce Clayton,TOR,Shortstop,72,185,37.16
Royce Ring,SD,Relief Pitcher,72,220,26.19
Ruddy Lugo,TB,Relief Pitcher,70,205,26.77
Russ Adams,TOR,Second Baseman,73,180,26.5
Russ Ortiz,SF,Starting Pitcher,73,208,32.74
Russ Springer,STL,Relief Pitcher,76,211,38.31
Russell Branyan,SD,Outfielder,75,195,31.2
Russell Martin,LA,Catcher,71,202,24.04
Ryan Braun,KC,Relief Pitcher,73,215,26.59
Ryan Budde,PHI,Catcher,71,200,27.54
Ryan Church,WAS,Outfielder,73,190,28.38
Ryan Dempster,CHC,Relief Pitcher,74,215,29.83
Ryan Doumit,PIT,First Baseman,72,200,25.91
Ryan Feierabend,SEA,Starting Pitcher,75,190,21.52
Ryan Franklin,STL,Starting Pitcher,75,180,33.99
Ryan Freel,CIN,Outfielder,70,180,30.98
Ryan Garko,CLE,First Baseman,74,225,26.16
Ryan Goleski,OAK,Outfielder,75,225,24.95
Ryan Howard,PHI,First Baseman,76,230,27.28
Ryan Ketchner,SD,Relief Pitcher,73,190,24.87
Ryan Klesko,SF,Outfielder,75,220,35.72
Ryan Langerhans,ATL,Outfielder,75,195,27.03
Ryan Madson,PHI,Relief Pitcher,78,190,26.51
Ryan O'Malley,CHC,Starting Pitcher,73,190,26.89
Ryan Shealy,KC,First Baseman,77,240,27.5
Ryan Speier,COL,Relief Pitcher,79,200,27.6
Ryan Spilborghs,COL,Outfielder,73,190,27.49
Ryan Sweeney,CWS,Outfielder,76,200,22.02
Ryan Theriot,CHC,Second Baseman,71,175,27.23
Ryan Wagner,WAS,Relief Pitcher,76,210,24.63
Ryan Zimmerman,WAS,Third Baseman,75,210,22.42
Salomon Torres,PIT,Relief Pitcher,71,210,34.97
Sammy Sosa,TEX,Outfielder,72,220,38.3
Saul Rivera,WAS,Relief Pitcher,71,150,29.23
Scot Shields,ANA,Relief Pitcher,73,170,31.61
Scott Baker,MIN,Starting Pitcher,76,221,25.45
Scott Cassidy,SD,Relief Pitcher,74,170,31.41
Scott Dohmann,TB,Relief Pitcher,73,181,29.04
Scott Downs,TOR,Relief Pitcher,74,190,30.95
Scott Dunn,OAK,Relief Pitcher,75,200,28.77
Scott Elarton,KC,Starting Pitcher,80,240,31.02
Scott Eyre,CHC,Relief Pitcher,73,210,34.75
Scott Feldman,TEX,Relief Pitcher,77,210,24.06
Scott Hairston,ARZ,Outfielder,72,188,26.77
Scott Hatteberg,CIN,First Baseman,73,210,37.21
Scott Kazmir,TB,Starting Pitcher,72,170,23.1
Scott Linebrink,SD,Relief Pitcher,75,208,30.57
Scott Mathieson,PHI,Starting Pitcher,75,190,23.01
Scott Moore,CHC,First Baseman,74,180,23.29
Scott Munter,SF,Relief Pitcher,78,240,26.98
Scott Olsen,FLA,Starting Pitcher,76,198,23.13
Scott Podsednik,CWS,Outfielder,72,188,30.95
Scott Proctor,NYY,Relief Pitcher,73,198,30.16
Scott Rolen,STL,Third Baseman,76,240,31.91
Scott Schoeneweis,NYM,Relief Pitcher,72,195,33.41
Scott Spiezio,STL,Third Baseman,74,220,34.44
Scott Strickland,SD,Relief Pitcher,71,180,30.84
Scott Thorman,ATL,Outfielder,75,200,25.15
Scott Williamson,BAL,Relief Pitcher,72,180,31.03
Sean Burnett,PIT,Starting Pitcher,71,190,24.45
Sean Casey,DET,First Baseman,76,225,32.66
Sean Green,SEA,Relief Pitcher,78,230,27.86
Sean Henn,NYY,Relief Pitcher,76,215,25.85
Sean Marshall,CHC,Starting Pitcher,79,205,24.5
Sean Tracey,CWS,Relief Pitcher,75,210,26.29
Sean White,SEA,Starting Pitcher,76,195,25.85
Sendy Rleal,BAL,Relief Pitcher,73,180,26.69
Sergio Mitre,FLA,Relief Pitcher,76,210,26.03
Seth McClung,TB,Relief Pitcher,78,235,26.06
Shane Costa,KC,Outfielder,72,220,25.22
Shane Victorino,PHI,Outfielder,69,160,26.25
Shane Youman,PIT,Starting Pitcher,76,219,27.39
Shannon Stewart,OAK,Outfielder,71,200,33.01
Shaun Marcum,TOR,Starting Pitcher,72,180,25.21
Shawn Camp,TB,Relief Pitcher,73,200,31.28
Shawn Chacon,PIT,Starting Pitcher,75,212,29.19
Shawn Green,NYM,Outfielder,76,200,34.3
Shawn Hill,WAS,Starting Pitcher,74,185,25.84
Shawn Riggans,TB,Catcher,74,190,26.6
Shea Hillenbrand,ANA,First Baseman,73,211,31.59
Shin-Soo Choo,CLE,Outfielder,71,178,24.63
Skip Schumaker,STL,Outfielder,70,175,27.07
So Taguchi,STL,Outfielder,70,163,37.66
Stephen Drew,ARZ,Shortstop,72,185,23.96
Steve Kline,SF,Relief Pitcher,73,215,34.52
Steve Trachsel,BAL,Starting Pitcher,76,205,36.33
T.J. Beam,NYY,Relief Pitcher,79,215,26.51
T.J. Bohn,ATL,Outfielder,77,200,27.12
Tadahito Iguchi,CWS,Second Baseman,69,185,32.24
Takashi Saito,LA,Relief Pitcher,73,202,37.04
Tanyon Sturtze,ATL,Relief Pitcher,77,200,36.38
Taylor Buchholz,COL,Starting Pitcher,76,220,25.38
Taylor Tankersley,FLA,Relief Pitcher,73,220,23.98
Ted Lilly,CHC,Starting Pitcher,73,190,31.15
Terrmel Sledge,SD,Outfielder,72,185,29.95
Terry Evans,ANA,Outfielder,75,200,25.11
Tim Corcoran,TB,Starting Pitcher,74,205,28.88
Tim Hamulack,LA,Relief Pitcher,76,210,30.29
Tim Hudson,ATL,Starting Pitcher,73,164,31.63
Tim Redding,WAS,Starting Pitcher,72,200,29.05
Tim Wakefield,BOS,Starting Pitcher,74,210,40.58
Toby Hall,CWS,Catcher,75,240,31.36
Todd Coffey,CIN,Relief Pitcher,77,230,26.47
Todd Helton,COL,First Baseman,74,204,33.53
Todd Jones,DET,Relief Pitcher,75,230,38.85
Todd Linden,SF,Outfielder,75,210,26.67
Todd Walker,SD,Second Baseman,72,185,33.77
Todd Wellemeyer,KC,Relief Pitcher,75,205,28.5
Tom Glavine,NYM,Starting Pitcher,72,185,40.93
Tom Gordon,PHI,Relief Pitcher,70,190,39.28
Tom Gorzelanny,PIT,Starting Pitcher,74,207,24.64
Tom Martin,COL,Relief Pitcher,73,206,36.78
Tom Mastny,CLE,Relief Pitcher,78,220,26.07
Tommy Murphy,ANA,Outfielder,72,185,27.51
Tomo Ohka,TOR,Starting Pitcher,73,200,30.95
Tony Armas Jr.,PIT,Starting Pitcher,75,225,28.84
Tony Clark,ARZ,First Baseman,79,245,34.71
Tony Giarratano,DET,Shortstop,72,180,24.25
Tony Graffanino,MLW,Second Baseman,73,190,34.73
Tony Gwynn Jr.,MLW,Outfielder,72,185,24.41
Tony Pena,ARZ,Relief Pitcher,74,190,25.14
Torii Hunter,MIN,Outfielder,74,211,31.62
Tracy Thorpe,TOR,Relief Pitcher,76,250,26.21
Travis Bowyer,FLA,Relief Pitcher,75,200,25.57
Travis Hafner,CLE,Designated Hitter,75,240,29.74
Trever Miller,HOU,Relief Pitcher,75,200,33.75
Trevor Hoffman,SD,Relief Pitcher,72,215,39.38
Trot Nixon,CLE,Outfielder,74,211,32.89
Troy Glaus,TOR,Third Baseman,77,240,30.57
Troy Tulowitzki,COL,Shortstop,75,205,22.39
Ty Wigginton,TB,First Baseman,72,200,29.39
Tyler Johnson,STL,Relief Pitcher,74,180,25.73
Tyler Yates,ATL,Relief Pitcher,76,220,29.56
Ubaldo Jimenez,COL,Starting Pitcher,76,200,23.1
Vance Wilson,DET,Catcher,71,190,33.95
Vernon Wells,TOR,Outfielder,73,225,28.23
Vicente Padilla,TEX,Starting Pitcher,74,219,29.42
